id,brand,name_ja,model,batch_name,source_file,managed_file
c1c994ba-fe91-4c5f-956e-73868a51a05b,SOTO,ウインドマスター専用4本ゴトク フォーフレックス,SOD-460,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/c1c994ba-fe91-4c5f-956e-73868a51a05b.png,processed/by-brand-all/SOTO/ウインドマスター専用4本ゴトク フォーフレックス - SOD-460 - c1c994ba.png
35a903f9-785e-435f-aa76-934bfa9f1d93,SOTO,サーモスタック,SOD-520,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/35a903f9-785e-435f-aa76-934bfa9f1d93.png,processed/by-brand-all/SOTO/サーモスタック - SOD-520 - 35a903f9.png
0e6a56df-6bab-48ed-bc16-d1f415843062,SOTO,サーモスタッククッカーコンボ,SOD-521,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/0e6a56df-6bab-48ed-bc16-d1f415843062.png,processed/by-brand-all/SOTO/サーモスタッククッカーコンボ - SOD-521 - 0e6a56df.png
e505785b-9546-4a0d-a1bf-97d5b91cd985,SOTO,サーモライト,SOD-522,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/e505785b-9546-4a0d-a1bf-97d5b91cd985.png,processed/by-brand-all/SOTO/サーモライト - SOD-522 - e505785b.png
78ca16da-5e8b-426c-8619-543643713b3b,SOTO,スチームライスクッカー ITADAKI(イタダキ),SOD-523,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/78ca16da-5e8b-426c-8619-543643713b3b.png,processed/by-brand-all/SOTO/スチームライスクッカー ITADAKI(イタダキ) - SOD-523 - 78ca16da.png
1f7ebae0-64c8-490e-898d-edda4d15922b,SOTO,チタンマグ450,SOD-532,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/1f7ebae0-64c8-490e-898d-edda4d15922b.png,processed/by-brand-all/SOTO/チタンマグ450 - SOD-532 - 1f7ebae0.png
1cb0a832-4c9c-477e-9e5d-4b79fc10b9bd,SOTO,チタンマグ600,SOD-533,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/1cb0a832-4c9c-477e-9e5d-4b79fc10b9bd.png,processed/by-brand-all/SOTO/チタンマグ600 - SOD-533 - 1cb0a832.png
ee82dfbd-7122-4bed-9403-0dcc51748280,SOTO,パワーガス105トリプルミックス,SOD-710T,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/ee82dfbd-7122-4bed-9403-0dcc51748280.png,processed/by-brand-all/SOTO/パワーガス105トリプルミックス - SOD-710T - ee82dfbd.png
e1686322-bed9-4f87-8934-b8013c036453,SOTO,パワーガス250トリプルミックス,SOD-725T,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/e1686322-bed9-4f87-8934-b8013c036453.png,processed/by-brand-all/SOTO/パワーガス250トリプルミックス - SOD-725T - e1686322.png
8a686a94-deed-492a-8e8c-e666fa0669d9,Petzl,ACTIK,ACTIK,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/8a686a94-deed-492a-8e8c-e666fa0669d9.png,processed/by-brand-all/Petzl/ACTIK - 8a686a94.png
