id,brand,name_ja,model,official_weight_grams,weight_grams,msrp_jpy,verification_status,official_url,msrp_source_url,image_url
dbf2bf2d-b58b-491e-9cd0-d8e94a204adf,Osprey,シラス36,シラス36,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/dbf2bf2d-b58b-491e-9cd0-d8e94a204adf.png
b4acc449-411f-4961-b963-35f699ccd04d,Osprey,ストラトス26,ストラトス26,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/b4acc449-411f-4961-b963-35f699ccd04d.png
2482747c-0ad2-4340-ad78-8a4dfda93fab,Osprey,ストラトス36,ストラトス36,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/2482747c-0ad2-4340-ad78-8a4dfda93fab.png
a83d6c2d-f8d9-4db3-99be-363286c9118e,Osprey,タロン22,タロン22,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/a83d6c2d-f8d9-4db3-99be-363286c9118e.png
80cf8698-ebce-40e5-acb3-1e9de5f2eb88,Osprey,タロン33,タロン33,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/80cf8698-ebce-40e5-acb3-1e9de5f2eb88.png
da2e977d-06c2-4e27-a6c1-347b78301729,Osprey,タロン44,タロン44,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/da2e977d-06c2-4e27-a6c1-347b78301729.png
ff587634-a79c-41a2-a67a-42f364876141,Osprey,テンペスト20,テンペスト20,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/ff587634-a79c-41a2-a67a-42f364876141.png
eb6b591a-2d19-418e-90fd-cdd3b2be88a6,Osprey,テンペスト30,テンペスト30,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/eb6b591a-2d19-418e-90fd-cdd3b2be88a6.png
6bcb12d2-0210-49a8-80b3-cd48e056079d,Osprey,ハイクライト18,ハイクライト18,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/6bcb12d2-0210-49a8-80b3-cd48e056079d.png
e54ceec4-8179-4c97-93a0-76beaa25ed4f,Osprey,ハイクライト26,ハイクライト26,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/e54ceec4-8179-4c97-93a0-76beaa25ed4f.png
68f6a60b-b9ea-48ce-a3a7-7c5793b98be7,Osprey,ミュータント38,ミュータント38,,,,needs_review,https://www.osprey.com/,https://www.osprey.com/,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/68f6a60b-b9ea-48ce-a3a7-7c5793b98be7.png
8539594d-c874-4205-97ef-27329fbca0ad,Petzl,ARIA 1 RGB,ARIA 1 RGB,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/8539594d-c874-4205-97ef-27329fbca0ad.png
7a1ee0c5-1895-45b7-9143-d07629228b79,Petzl,ARIA 2 RGB,ARIA 2 RGB,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/7a1ee0c5-1895-45b7-9143-d07629228b79.png
3774c498-5ee3-4ab4-a2aa-d7bb072f0b4c,Petzl,ARIA 2R,ARIA 2R,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/3774c498-5ee3-4ab4-a2aa-d7bb072f0b4c.png
37be6e0f-59d3-4870-a80f-3a1b44ad8eb4,Petzl,BINDI,BINDI,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/37be6e0f-59d3-4870-a80f-3a1b44ad8eb4.png
ec43d109-e419-4ccb-904a-f6d6f2347889,Petzl,BOREO,BOREO,,,,needs_review,https://www.petzl.com/INT/en/Sport/Helmets,https://www.petzl.com/INT/en/Sport/Helmets,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/ec43d109-e419-4ccb-904a-f6d6f2347889.png
991ccc85-a1aa-429f-b1c9-589e28b90432,Petzl,IKO,IKO,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/991ccc85-a1aa-429f-b1c9-589e28b90432.png
aca97990-3dea-4604-b54b-3bc948f73099,Petzl,METEOR,METEOR,,,,needs_review,https://www.petzl.com/INT/en/Sport/Helmets,https://www.petzl.com/INT/en/Sport/Helmets,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/aca97990-3dea-4604-b54b-3bc948f73099.png
b9921d1c-586d-44cd-b9ef-b7b67ae121ce,Petzl,NAO RL,NAO RL,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/b9921d1c-586d-44cd-b9ef-b7b67ae121ce.png
d5ee928f-64bd-48b3-9ca1-fc1e648ea8ff,Petzl,TACTIKKA,TACTIKKA,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/d5ee928f-64bd-48b3-9ca1-fc1e648ea8ff.png
68a7a1e0-a09d-4a67-986a-175694fe37fa,Petzl,TACTIKKA CORE,TACTIKKA CORE,,,,needs_review,https://www.petzl.com/INT/en/Sport/Headlamps,https://www.petzl.com/INT/en/Sport/Headlamps,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/manual-no-image-fill/68a7a1e0-a09d-4a67-986a-175694fe37fa.png
801dd5bb-d4b2-4574-9921-36429dc3d097,THE NORTH FACE,フットプリント/マウンテンショット1,フットプリント/マウンテンショット1,,,6600,needs_review,https://www.goldwin.co.jp/ap/item/i/m/NN32408,https://www.goldwin.co.jp/ap/item/i/m/NN32408,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/catalog-brand-existing-visible/801dd5bb-d4b2-4574-9921-36429dc3d097.png
2c8eb353-52e5-48eb-bdce-9b037e192055,THE NORTH FACE,フットプリント/マウンテンショット2,フットプリント/マウンテンショット2,,,7700,needs_review,https://www.goldwin.co.jp/ap/item/i/m/NN32407,https://www.goldwin.co.jp/ap/item/i/m/NN32407,https://fdakykmfsrsnuwnhdwmw.supabase.co/storage/v1/object/public/gear-images-processed/gear-products/catalog-brand-existing-visible/2c8eb353-52e5-48eb-bdce-9b037e192055.png
