brand,name_ja,model,id,output_path,managed_file,source_image_url
Osprey,ケストレルLT35,ケストレルLT35,60e24ca8-fd65-4022-97c8-33ee2a20311c,tmp/gear-images/processed/catalog-remaining-existing-visible/60e24ca8-fd65-4022-97c8-33ee2a20311c.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/ケストレルLT35 - 60e24ca8.png,https://www.lostarrow.co.jp/img/goods/S/OS50159001_S.webp
Osprey,ケストレルLT45,ケストレルLT45,08d71495-409a-4f1e-a05a-68a3d8695ff7,tmp/gear-images/processed/catalog-remaining-existing-visible/08d71495-409a-4f1e-a05a-68a3d8695ff7.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/ケストレルLT45 - 08d71495.png,https://www.lostarrow.co.jp/img/goods/S/OS50158001_S.webp
Osprey,タロンプロ40,タロンプロ40,cde77e2d-3263-41c0-9c57-0137f38a4c18,tmp/gear-images/processed/catalog-remaining-existing-visible/cde77e2d-3263-41c0-9c57-0137f38a4c18.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/タロンプロ40 - cde77e2d.png,https://www.lostarrow.co.jp/img/goods/S/OS50271001_S.webp
Osprey,タロンベロシティ20,タロンベロシティ20,833a0f31-c5a6-481e-9543-6d3a471eaed5,tmp/gear-images/processed/catalog-remaining-existing-visible/833a0f31-c5a6-481e-9543-6d3a471eaed5.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/タロンベロシティ20 - 833a0f31.png,https://www.lostarrow.co.jp/img/goods/S/OS50268001_S.webp
Osprey,テンペストベロシティ20,テンペストベロシティ20,c5809356-b95a-494c-b2d3-e1a1bede15cf,tmp/gear-images/processed/catalog-remaining-existing-visible/c5809356-b95a-494c-b2d3-e1a1bede15cf.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Osprey/テンペストベロシティ20 - c5809356.png,https://www.lostarrow.co.jp/img/goods/S/OS50270001_S.webp
patagonia,トレントシェル 3L ジャケット,Torrentshell 3L Jacket,610379a2-999f-4b59-aa27-20233d18358c,tmp/gear-images/processed/catalog-remaining-existing-visible/610379a2-999f-4b59-aa27-20233d18358c.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/patagonia/トレントシェル 3L ジャケット - Torrentshell 3L Jacket - 610379a2.png,https://edge.dis.commercecloud.salesforce.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw68155cdb/images/hi-res/85241_CPRG.jpg?sw=768&sh=768&sfrm=png&q=95&bgcolor=f3f4ef
patagonia,フーディニ ジャケット,Houdini Jacket,b27ed510-2b70-4e1a-9d36-fa0234a53e81,tmp/gear-images/processed/catalog-remaining-existing-visible/b27ed510-2b70-4e1a-9d36-fa0234a53e81.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/patagonia/フーディニ ジャケット - Houdini Jacket - b27ed510.png,https://edge.dis.commercecloud.salesforce.com/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dwecba354c/images/hi-res/24142_BLSG.jpg?sw=768&sh=768&sfrm=png&q=95&bgcolor=f3f4ef
Petzl,TIKKA,TIKKA,28a64247-d87f-4252-9c50-311b17399e97,tmp/gear-images/processed/catalog-remaining-existing-visible/28a64247-d87f-4252-9c50-311b17399e97.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Petzl/TIKKA - 28a64247.png,https://www.petzl.com/sfc/servlet.shepherd/version/download/068Tx00000BWDtTIAX
Petzl,TIKKA CORE,TIKKA CORE,8ca84e74-20c5-41e9-8949-ec5a8cf4a449,tmp/gear-images/processed/catalog-remaining-existing-visible/8ca84e74-20c5-41e9-8949-ec5a8cf4a449.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/Petzl/TIKKA CORE - 8ca84e74.png,https://www.petzl.com/sfc/servlet.shepherd/version/download/068Tx000006L5ZAIA0
SOTO,CB TOUGH 125,ST-711,dee97fc3-0e88-4d2f-9c91-41eb53fd0846,tmp/gear-images/processed/catalog-remaining-existing-visible/dee97fc3-0e88-4d2f-9c91-41eb53fd0846.png,tmp/gear-images/processed/catalog-remaining-existing-visible/by-brand/SOTO/CB TOUGH 125 - ST-711 - dee97fc3.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-711_0111.jpg
