brand,name_ja,model,category_label,id,managed_file,original_processed_file,source_image_url
mont-bell,ストームクルーザー パンツ Men's,ストームクルーザー パンツ Men's,レインウェア（Rainwear）,435673ae-ac0e-4fe0-9f67-32b5671c8be7,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/ストームクルーザー パンツ Men's - 435673ae.png,tmp/gear-images/processed/catalog-first-page-visible/435673ae-ac0e-4fe0-9f67-32b5671c8be7.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1128562_ogrd.jpg
mont-bell,ストームクルーザー パンツ Women's,ストームクルーザー パンツ Women's,レインウェア（Rainwear）,d798689b-450c-4bbb-8340-f218e580a8df,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/ストームクルーザー パンツ Women's - d798689b.png,tmp/gear-images/processed/catalog-first-page-visible/d798689b-450c-4bbb-8340-f218e580a8df.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1128536_gm.jpg
mont-bell,バーサライト ジャケット Men's,バーサライト ジャケット Men's,レインウェア（Rainwear）,b9503f94-6fd7-48e0-b86b-b7b7b22978cb,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/バーサライト ジャケット Men's - b9503f94.png,tmp/gear-images/processed/catalog-first-page-visible/b9503f94-6fd7-48e0-b86b-b7b7b22978cb.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1128743_bl.jpg
mont-bell,バーサライト ジャケット Women's,バーサライト ジャケット Women's,レインウェア（Rainwear）,ed14cea0-5df6-4f2a-a632-5835899e5355,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/バーサライト ジャケット Women's - ed14cea0.png,tmp/gear-images/processed/catalog-first-page-visible/ed14cea0-5df6-4f2a-a632-5835899e5355.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1128744_lgn.jpg
mont-bell,EXパワーヘッドランプ,EXパワーヘッドランプ,電子機器（Electronics）,c887dd96-c94f-465e-8367-92eeda7bd0b1,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/EXパワーヘッドランプ - c887dd96.png,tmp/gear-images/processed/catalog-first-page-visible/c887dd96-c94f-465e-8367-92eeda7bd0b1.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1124777_wt.jpg
NEMO,Dragonfly OSMO™ 1P,Dragonfly OSMO 1P,テント・シェルター（Tent / Shelter）,76a73e13-d550-40d5-a325-3db3d08d41de,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/Dragonfly OSMOTM 1P - Dragonfly OSMO 1P - 76a73e13.png,tmp/gear-images/processed/catalog-first-page-visible/76a73e13-d550-40d5-a325-3db3d08d41de.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/dragonfly_osmo_1P_fog_main.jpg?v=1770126685
NEMO,Dragonfly OSMO™ 2P,Dragonfly OSMO 2P,テント・シェルター（Tent / Shelter）,f527b827-fe3f-443c-918d-42a4928a4d93,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/Dragonfly OSMOTM 2P - Dragonfly OSMO 2P - f527b827.png,tmp/gear-images/processed/catalog-first-page-visible/f527b827-fe3f-443c-918d-42a4928a4d93.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/dragonfly_osmo_2P_fog_main.jpg?v=1770127953
NEMO,Dragonfly OSMO™ 3P,Dragonfly OSMO 3P,テント・シェルター（Tent / Shelter）,3ec06530-57cb-42ab-b2ab-cd7b902eca8b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/Dragonfly OSMOTM 3P - Dragonfly OSMO 3P - 3ec06530.png,tmp/gear-images/processed/catalog-first-page-visible/3ec06530-57cb-42ab-b2ab-cd7b902eca8b.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/dragonfly_osmo_3P_fog_sub1.jpg?v=1770128354
NEMO,Hornet™ OSMO™ 1P,Hornet OSMO 1P,テント・シェルター（Tent / Shelter）,6b2ff5cb-608f-47e4-b402-6740c577efa5,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/HornetTM OSMOTM 1P - Hornet OSMO 1P - 6b2ff5cb.png,tmp/gear-images/processed/catalog-first-page-visible/6b2ff5cb-608f-47e4-b402-6740c577efa5.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/1P_0001__1.jpg?v=1736506349
NEMO,Tani™ OSMO™ 1P,Tani OSMO 1P,テント・シェルター（Tent / Shelter）,e17a4827-f12e-44ba-8278-bd1e425bc672,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/TaniTM OSMOTM 1P - Tani OSMO 1P - e17a4827.png,tmp/gear-images/processed/catalog-first-page-visible/e17a4827-f12e-44ba-8278-bd1e425bc672.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/1P.jpg?v=1734668840
NEMO,Fillo™,Fillo,寝具（Sleep System）,9514f16a-658b-4f9b-97de-9ca230a9501b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/FilloTM - Fillo - 9514f16a.png,tmp/gear-images/processed/catalog-first-page-visible/9514f16a-658b-4f9b-97de-9ca230a9501b.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/fillo_blue_horizon_main.jpg?v=1776923005
NEMO,Fillo™ Elite,Fillo Elite,寝具（Sleep System）,213b0565-8926-4ace-9d94-6826c50c1754,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/FilloTM Elite - Fillo Elite - 213b0565.png,tmp/gear-images/processed/catalog-first-page-visible/213b0565-8926-4ace-9d94-6826c50c1754.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/BlackPearlCitron1.jpg?v=1775526348
NEMO,Fillo™ Elite Wide,Fillo Elite Wide,寝具（Sleep System）,95d65bdc-442b-4c1f-8937-15ad450605da,tmp/gear-images/processed/catalog-first-page-visible/by-brand/NEMO/FilloTM Elite Wide - Fillo Elite Wide - 95d65bdc.png,tmp/gear-images/processed/catalog-first-page-visible/95d65bdc-442b-4c1f-8937-15ad450605da.png,https://cdn.shopify.com/s/files/1/0895/7431/0174/files/fillo_elite_wide_black_pearl_main.jpg?v=1770130951
Petzl,ACTIK,ACTIK,電子機器（Electronics）,8a686a94-deed-492a-8e8c-e666fa0669d9,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Petzl/ACTIK - 8a686a94.png,tmp/gear-images/processed/catalog-first-page-visible/8a686a94-deed-492a-8e8c-e666fa0669d9.png,https://www.petzl.com/sfc/servlet.shepherd/version/download/068Tx000006KdoHIAS
Petzl,ACTIK CORE,ACTIK CORE,電子機器（Electronics）,26784443-9cdb-495a-90e6-4b60a892ca59,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Petzl/ACTIK CORE - 26784443.png,tmp/gear-images/processed/catalog-first-page-visible/26784443-9cdb-495a-90e6-4b60a892ca59.png,https://www.petzl.com/sfc/servlet.shepherd/version/download/068Tx000006KwpEIAS
Petzl,IKO CORE,IKO CORE,電子機器（Electronics）,b91e74c9-0290-4807-a621-2b39dad8dad9,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Petzl/IKO CORE - b91e74c9.png,tmp/gear-images/processed/catalog-first-page-visible/b91e74c9-0290-4807-a621-2b39dad8dad9.png,https://www.petzl.com/sfc/servlet.shepherd/version/download/068bK00000g2zqTQAQ
